"age","education","default","balance","housing","contact","month","duration","campaign","TermDeposit"
49,"secondary","no",783,"yes","unknown","may",166,4,"no"
44,"primary","no",1485,"yes","unknown","may",428,1,"no"
39,"secondary","no",247,"yes","unknown","may",130,2,"no"
30,"primary","no",1379,"no","cellular","nov",172,2,"no"
32,"primary","no",651,"yes","cellular","feb",628,2,"no"
41,"primary","no",0,"yes","unknown","may",238,1,"no"
33,"secondary","no",3071,"yes","cellular","nov",46,2,"no"
32,"tertiary","no",336,"yes","unknown","may",139,1,"no"
58,"secondary","no",2160,"yes","cellular","may",1090,1,"yes"
43,"secondary","no",3689,"yes","cellular","apr",165,1,"no"
35,"secondary","no",249,"no","cellular","aug",205,8,"no"
47,"secondary","no",407,"yes","cellular","apr",145,3,"no"
28,"secondary","no",1705,"no","cellular","dec",412,2,"yes"
31,"secondary","no",310,"yes","cellular","aug",228,2,"no"
36,"primary","no",4519,"yes","unknown","may",117,2,"no"
48,"secondary","no",2662,"no","unknown","jun",298,2,"no"
35,"primary","no",189,"yes","cellular","may",95,1,"no"
41,"tertiary","no",1104,"no","unknown","jun",352,1,"no"
30,"secondary","no",11,"yes","cellular","may",157,1,"no"
43,"secondary","no",693,"yes","unknown","may",124,3,"no"
45,"secondary","no",497,"yes","cellular","apr",72,1,"no"
29,"tertiary","no",2451,"yes","unknown","may",58,1,"no"
25,"secondary","no",96,"no","unknown","may",293,1,"no"
30,"secondary","no",-135,"yes","cellular","may",57,1,"no"
36,"tertiary","no",977,"no","unknown","jun",172,2,"no"
56,"primary","no",0,"yes","cellular","jul",82,1,"no"
56,"secondary","no",3931,"no","cellular","apr",115,1,"no"
43,"secondary","no",1612,"no","cellular","aug",119,2,"no"
26,"secondary","no",397,"no","cellular","jan",268,1,"no"
31,"secondary","no",1368,"yes","cellular","aug",129,4,"no"
40,"secondary","no",341,"no","cellular","jul",1142,5,"yes"
31,"unknown","no",7118,"yes","cellular","nov",210,1,"no"
37,"secondary","no",45,"no","cellular","aug",99,3,"no"
40,"primary","no",2077,"yes","cellular","may",363,1,"no"
32,"secondary","no",348,"yes","cellular","jul",926,1,"yes"
50,"secondary","no",806,"yes","cellular","may",141,8,"no"
46,"primary","no",216,"no","cellular","feb",173,1,"no"
44,"tertiary","no",0,"no","cellular","aug",130,4,"no"
43,"unknown","no",3173,"no","unknown","may",746,1,"yes"
57,"tertiary","no",350,"no","telephone","may",87,3,"no"
40,"tertiary","no",1548,"yes","cellular","apr",101,3,"no"
51,"primary","no",13292,"no","unknown","jun",1238,2,"no"
22,"secondary","no",391,"yes","unknown","may",72,18,"no"
32,"secondary","no",1659,"yes","unknown","may",120,6,"no"
71,"primary","no",2600,"no","cellular","nov",186,2,"yes"
34,"secondary","no",287,"yes","unknown","jun",149,8,"no"
39,"unknown","no",839,"no","unknown","may",825,2,"no"
39,"primary","no",118,"no","cellular","feb",906,1,"yes"
31,"tertiary","no",18,"no","cellular","aug",82,2,"no"
42,"unknown","no",72,"no","unknown","jun",22,1,"no"
51,"secondary","no",-1042,"yes","unknown","may",272,2,"no"
58,"tertiary","no",12322,"no","telephone","jun",306,2,"no"
45,"secondary","no",976,"yes","cellular","apr",183,1,"no"
40,"secondary","no",59,"yes","unknown","jun",322,3,"no"
38,"secondary","no",283,"yes","unknown","may",193,1,"no"
29,"tertiary","no",452,"yes","cellular","may",59,1,"no"
52,"primary","no",204,"no","cellular","aug",123,2,"no"
32,"tertiary","no",600,"no","cellular","nov",272,1,"no"
43,"unknown","no",175,"no","cellular","may",54,1,"no"
48,"tertiary","no",830,"no","cellular","aug",961,4,"yes"
38,"secondary","no",814,"yes","cellular","feb",306,1,"no"
43,"secondary","no",808,"no","cellular","jul",481,3,"no"
32,"secondary","no",217,"yes","cellular","may",692,3,"yes"
19,"unknown","no",27,"no","telephone","mar",86,12,"no"
26,"secondary","no",415,"no","cellular","jul",92,2,"no"
31,"secondary","no",664,"yes","unknown","may",987,3,"no"
37,"secondary","no",6,"no","cellular","jan",163,2,"no"
49,"secondary","no",165,"no","cellular","jul",682,10,"no"
51,"tertiary","no",16,"yes","cellular","jan",158,1,"no"
51,"secondary","no",1524,"yes","cellular","nov",112,2,"no"
31,"primary","no",124,"yes","cellular","feb",343,1,"no"
49,"secondary","no",63,"no","cellular","jul",435,2,"no"
31,"secondary","no",9714,"yes","unknown","may",182,2,"no"
35,"secondary","no",1508,"no","cellular","jul",339,8,"no"
32,"secondary","no",-632,"yes","cellular","apr",18,5,"no"
24,"secondary","no",556,"yes","cellular","feb",278,1,"yes"
52,"secondary","no",385,"no","cellular","aug",96,4,"no"
26,"tertiary","no",1972,"yes","cellular","jan",221,2,"no"
48,"secondary","no",1150,"yes","unknown","may",357,1,"no"
32,"primary","no",-184,"yes","cellular","feb",129,2,"no"
32,"tertiary","no",-345,"yes","unknown","may",74,1,"no"
31,"tertiary","no",410,"yes","unknown","may",112,2,"no"
31,"secondary","no",-302,"yes","unknown","may",235,5,"no"
30,"secondary","no",83,"yes","cellular","nov",118,2,"no"
55,"primary","no",700,"no","unknown","jun",141,1,"no"
51,"secondary","no",35,"no","cellular","jul",123,4,"no"
31,"primary","no",216,"yes","unknown","may",565,1,"yes"
34,"secondary","no",559,"yes","telephone","nov",47,1,"no"
33,"tertiary","no",442,"yes","unknown","may",463,1,"no"
39,"secondary","no",263,"yes","cellular","nov",365,1,"no"
32,"secondary","no",-83,"yes","unknown","may",116,3,"no"
62,"tertiary","no",2557,"yes","cellular","nov",404,1,"yes"
40,"primary","no",1698,"yes","unknown","jun",240,5,"no"
48,"primary","no",2642,"yes","unknown","may",330,3,"no"
35,"tertiary","no",844,"yes","unknown","may",60,1,"no"
25,"tertiary","no",0,"no","unknown","jun",347,1,"no"
59,"primary","no",352,"no","telephone","jul",132,10,"no"
35,"secondary","no",-89,"yes","cellular","may",75,1,"no"
44,"secondary","no",2878,"yes","telephone","nov",125,3,"no"
42,"tertiary","no",0,"no","cellular","aug",325,2,"no"
39,"primary","no",562,"no","cellular","aug",234,2,"no"
66,"tertiary","no",0,"no","cellular","aug",177,1,"no"
27,"tertiary","no",26,"no","telephone","feb",31,5,"no"
35,"unknown","no",208,"yes","unknown","may",214,1,"no"
33,"secondary","no",920,"no","cellular","apr",344,1,"yes"
33,"secondary","no",1769,"yes","cellular","nov",273,1,"no"
54,"secondary","no",88,"yes","unknown","may",190,1,"no"
26,"tertiary","no",689,"no","cellular","mar",78,1,"no"
40,"secondary","no",-116,"yes","unknown","may",176,3,"no"
58,"secondary","no",1407,"yes","unknown","may",58,1,"no"
53,"secondary","no",1,"yes","unknown","may",178,1,"no"
50,"unknown","no",-84,"yes","unknown","may",101,1,"no"
44,"secondary","no",381,"yes","cellular","jul",92,1,"no"
31,"secondary","no",1270,"yes","cellular","may",291,1,"no"
55,"primary","no",269,"no","cellular","aug",89,4,"no"
29,"secondary","no",4537,"yes","telephone","may",29,1,"no"
37,"tertiary","no",1330,"yes","unknown","may",60,1,"no"
80,"primary","no",2954,"no","cellular","sep",144,1,"no"
26,"secondary","no",153,"yes","unknown","may",386,1,"no"
31,"tertiary","no",2,"no","cellular","aug",848,1,"yes"
42,"tertiary","no",147,"yes","unknown","jun",254,21,"no"
41,"secondary","no",217,"yes","cellular","apr",375,2,"no"
55,"tertiary","no",1288,"yes","unknown","may",67,2,"no"
47,"primary","no",409,"yes","cellular","may",143,2,"no"
32,"secondary","no",4885,"yes","cellular","nov",400,2,"no"
36,"secondary","no",286,"yes","cellular","jul",167,9,"no"
34,"secondary","no",240,"yes","unknown","may",260,3,"no"
35,"primary","no",3751,"no","unknown","jun",193,1,"no"
47,"unknown","no",677,"no","cellular","apr",900,2,"yes"
38,"secondary","no",859,"yes","cellular","may",52,1,"no"
39,"primary","no",2715,"yes","unknown","jun",201,3,"no"
32,"secondary","no",138,"yes","unknown","may",158,1,"no"
50,"tertiary","no",0,"no","telephone","aug",253,2,"no"
46,"secondary","no",398,"yes","cellular","aug",128,2,"no"
30,"primary","no",660,"yes","unknown","may",912,2,"no"
61,"tertiary","no",997,"no","cellular","mar",106,1,"yes"
37,"tertiary","no",7785,"yes","cellular","apr",231,2,"no"
71,"tertiary","yes",1236,"yes","cellular","sep",335,4,"yes"
49,"secondary","no",635,"no","cellular","aug",220,3,"no"
45,"secondary","no",382,"yes","cellular","may",182,1,"no"
41,"tertiary","no",-370,"yes","cellular","may",233,2,"no"
38,"tertiary","no",1482,"yes","cellular","jul",361,1,"no"
30,"primary","no",243,"no","cellular","feb",133,2,"no"
31,"secondary","no",183,"yes","cellular","jul",60,2,"no"
51,"secondary","no",227,"no","cellular","aug",231,1,"no"
35,"secondary","no",-518,"yes","cellular","jul",46,5,"no"
24,"secondary","no",60,"yes","cellular","apr",417,2,"no"
32,"primary","no",1644,"no","cellular","sep",492,3,"yes"
44,"primary","no",-295,"yes","unknown","may",303,4,"no"
57,"secondary","no",6004,"yes","cellular","aug",157,6,"no"
42,"tertiary","no",99,"no","cellular","aug",92,4,"no"
60,"tertiary","no",315,"no","cellular","sep",840,1,"yes"
60,"secondary","no",0,"no","cellular","jul",94,3,"no"
53,"secondary","no",3765,"no","unknown","jun",1094,3,"yes"
34,"secondary","no",2583,"no","cellular","aug",64,1,"no"
36,"tertiary","no",260,"yes","cellular","may",49,1,"no"
42,"tertiary","no",360,"yes","unknown","jun",110,5,"no"
56,"secondary","no",1678,"yes","unknown","may",79,1,"no"
38,"tertiary","no",106,"no","cellular","feb",124,1,"no"
44,"secondary","no",337,"yes","telephone","jul",257,3,"no"
49,"tertiary","no",1235,"no","cellular","aug",354,3,"yes"
28,"tertiary","no",1080,"yes","cellular","may",192,1,"no"
33,"secondary","no",317,"yes","cellular","feb",141,4,"no"
45,"secondary","no",398,"yes","cellular","jan",227,1,"no"
50,"primary","no",1545,"yes","cellular","nov",25,1,"no"
53,"tertiary","yes",-252,"no","cellular","jul",223,2,"no"
28,"tertiary","no",135,"yes","unknown","may",195,1,"no"
40,"secondary","no",541,"yes","cellular","jan",431,2,"no"
28,"secondary","no",781,"yes","cellular","apr",52,1,"no"
39,"tertiary","no",1322,"yes","cellular","sep",157,3,"no"
49,"tertiary","no",92,"yes","unknown","may",221,2,"no"
40,"secondary","no",1076,"no","cellular","aug",326,2,"no"
35,"secondary","no",3508,"yes","cellular","jul",94,3,"no"
35,"tertiary","no",3109,"yes","cellular","jun",467,1,"no"
42,"primary","no",560,"yes","cellular","nov",139,2,"no"
30,"primary","no",411,"yes","cellular","may",457,1,"no"
30,"secondary","no",2371,"no","cellular","jun",661,1,"yes"
42,"tertiary","no",0,"yes","cellular","may",88,1,"no"
46,"primary","no",1823,"no","unknown","jun",135,3,"no"
39,"secondary","no",1309,"no","telephone","jul",37,1,"no"
55,"secondary","no",983,"no","telephone","jul",41,2,"no"
55,"primary","no",325,"no","cellular","mar",439,4,"no"
27,"primary","no",237,"yes","cellular","jul",283,6,"no"
32,"tertiary","no",4041,"no","cellular","aug",325,1,"no"
52,"primary","no",321,"yes","unknown","may",141,4,"no"
44,"tertiary","no",1356,"no","cellular","nov",264,2,"no"
46,"tertiary","no",8017,"yes","cellular","nov",169,2,"no"
28,"secondary","no",0,"yes","telephone","may",62,7,"no"
26,"secondary","no",1231,"yes","cellular","sep",230,1,"yes"
33,"secondary","no",-627,"yes","cellular","jul",740,1,"yes"
45,"secondary","no",4022,"yes","cellular","jan",244,3,"no"
31,"secondary","no",-36,"yes","unknown","jul",64,1,"no"
47,"tertiary","no",-49,"yes","cellular","may",14,6,"no"
59,"tertiary","no",1425,"no","cellular","aug",489,2,"no"
46,"secondary","no",78,"no","cellular","aug",172,2,"no"
36,"tertiary","no",4145,"no","unknown","jun",988,4,"yes"
47,"tertiary","no",288,"no","cellular","oct",101,1,"yes"
40,"secondary","no",5,"yes","cellular","may",364,2,"no"
26,"tertiary","no",1,"no","unknown","sep",6,1,"no"
44,"secondary","no",1025,"yes","unknown","jun",200,1,"no"
43,"secondary","no",2355,"yes","cellular","apr",333,3,"no"
31,"secondary","no",81,"yes","cellular","apr",215,2,"no"
34,"secondary","no",1365,"yes","unknown","may",293,2,"no"
40,"tertiary","no",2258,"yes","cellular","may",115,3,"no"
35,"secondary","no",222,"yes","cellular","nov",233,1,"no"
57,"secondary","no",0,"yes","cellular","jul",725,2,"no"
52,"secondary","no",6933,"no","cellular","nov",273,2,"no"
38,"secondary","no",260,"yes","cellular","jul",446,1,"no"
34,"secondary","no",8309,"yes","cellular","nov",50,1,"no"
41,"secondary","no",5060,"no","cellular","may",963,1,"yes"
40,"primary","no",-66,"yes","unknown","may",288,1,"no"
35,"primary","no",208,"yes","unknown","may",247,3,"no"
44,"secondary","no",0,"yes","cellular","jul",157,1,"no"
38,"secondary","no",-627,"yes","unknown","jun",176,4,"no"
25,"tertiary","no",493,"yes","unknown","jun",301,1,"no"
41,"tertiary","no",3371,"yes","cellular","may",204,2,"no"
48,"secondary","no",651,"no","cellular","jan",228,1,"no"
62,"secondary","no",2917,"no","cellular","apr",147,1,"no"
45,"secondary","no",231,"yes","unknown","jun",151,3,"no"
55,"primary","no",343,"yes","cellular","jul",276,3,"no"
30,"tertiary","no",1195,"no","cellular","jul",146,2,"no"
25,"secondary","no",173,"yes","cellular","may",186,2,"no"
34,"tertiary","no",3404,"yes","cellular","apr",420,1,"no"
40,"unknown","no",1181,"yes","cellular","feb",718,2,"yes"
33,"secondary","no",1968,"yes","cellular","apr",1817,3,"yes"
34,"secondary","no",244,"yes","cellular","jul",56,4,"no"
50,"secondary","no",3656,"no","cellular","aug",509,2,"no"
36,"tertiary","no",425,"no","unknown","jun",11,4,"no"
35,"tertiary","no",7546,"yes","cellular","aug",255,1,"no"
34,"primary","no",298,"yes","unknown","may",220,2,"no"
50,"primary","no",791,"no","unknown","jun",17,5,"no"
39,"tertiary","no",3575,"no","cellular","aug",74,3,"no"
26,"secondary","no",339,"yes","unknown","may",165,5,"no"
38,"tertiary","no",465,"no","cellular","jul",30,3,"no"
49,"unknown","no",301,"no","cellular","aug",789,2,"no"
35,"secondary","no",44,"yes","cellular","may",366,1,"no"
42,"tertiary","no",1608,"no","cellular","aug",13,21,"no"
36,"tertiary","no",671,"yes","cellular","sep",161,1,"no"
40,"secondary","no",998,"no","cellular","aug",133,7,"no"
28,"secondary","no",83,"yes","cellular","may",224,1,"no"
36,"unknown","yes",-395,"yes","telephone","jul",9,17,"no"
24,"secondary","no",1250,"no","cellular","mar",411,2,"yes"
41,"tertiary","no",2885,"no","cellular","nov",40,1,"no"
50,"secondary","no",0,"no","cellular","jul",144,9,"no"
38,"secondary","no",0,"yes","cellular","jul",93,1,"no"
41,"tertiary","no",-210,"yes","unknown","may",210,1,"no"
55,"tertiary","no",0,"no","cellular","aug",237,1,"yes"
58,"secondary","no",168,"no","cellular","aug",183,4,"no"
32,"tertiary","no",131,"yes","cellular","aug",112,1,"no"
42,"secondary","no",3082,"no","cellular","sep",285,1,"yes"
43,"primary","no",548,"no","cellular","jul",100,9,"no"
39,"secondary","no",3032,"no","unknown","may",260,1,"no"
29,"tertiary","no",1377,"no","cellular","apr",548,2,"yes"
35,"secondary","no",2374,"yes","cellular","aug",765,2,"yes"
29,"tertiary","no",185,"yes","unknown","may",141,3,"no"
40,"primary","no",189,"yes","unknown","may",160,2,"no"
35,"tertiary","yes",8,"yes","cellular","jul",56,3,"no"
52,"secondary","no",60,"no","cellular","aug",196,2,"no"
41,"primary","no",1498,"no","unknown","jun",10,2,"no"
31,"tertiary","no",796,"no","cellular","nov",150,1,"no"
32,"secondary","no",344,"yes","cellular","aug",255,15,"no"
80,"secondary","no",499,"no","telephone","apr",224,2,"no"
35,"secondary","no",1239,"yes","cellular","may",60,2,"no"
45,"tertiary","no",0,"no","cellular","aug",102,4,"no"
34,"primary","no",-703,"yes","cellular","may",160,2,"no"
46,"secondary","no",877,"no","cellular","aug",339,2,"no"
46,"secondary","no",1,"yes","unknown","may",200,3,"no"
32,"tertiary","no",0,"no","cellular","aug",183,2,"no"
41,"tertiary","no",231,"no","cellular","aug",428,2,"yes"
46,"secondary","no",9319,"yes","cellular","nov",31,7,"no"
32,"secondary","no",1342,"yes","unknown","may",109,2,"no"
48,"primary","no",0,"no","cellular","jul",324,2,"no"
31,"tertiary","no",22867,"yes","unknown","may",241,2,"no"
35,"tertiary","no",608,"yes","unknown","jun",227,1,"no"
28,"tertiary","no",282,"yes","unknown","jun",301,4,"no"
34,"tertiary","no",8000,"no","cellular","feb",291,1,"yes"
56,"primary","no",122,"no","cellular","jul",145,1,"no"
51,"secondary","no",0,"no","unknown","jul",109,1,"no"
86,"unknown","no",157,"no","telephone","sep",147,1,"no"
41,"tertiary","no",526,"yes","cellular","may",229,5,"no"
27,"secondary","yes",-3,"yes","unknown","may",265,5,"no"
50,"tertiary","no",151,"no","cellular","jun",103,4,"no"
32,"primary","no",131,"yes","unknown","may",212,2,"no"
36,"secondary","no",313,"yes","cellular","jan",167,2,"no"
52,"primary","no",36,"no","cellular","aug",109,2,"no"
23,"tertiary","no",250,"yes","unknown","may",166,2,"no"
38,"secondary","no",-421,"yes","cellular","apr",187,1,"no"
56,"tertiary","no",935,"yes","cellular","may",209,2,"no"
50,"secondary","no",1412,"no","cellular","aug",131,3,"no"
39,"tertiary","no",0,"no","cellular","jul",70,3,"no"
30,"secondary","no",-43,"yes","cellular","apr",79,1,"no"
56,"secondary","no",6503,"yes","cellular","may",27,6,"no"
57,"primary","no",592,"no","cellular","jul",87,5,"no"
34,"secondary","no",0,"yes","cellular","apr",562,2,"no"
50,"secondary","no",350,"no","cellular","aug",66,2,"no"
48,"primary","no",1850,"yes","cellular","jul",61,1,"no"
34,"secondary","no",1611,"no","telephone","nov",197,7,"no"
60,"primary","no",17413,"no","unknown","jun",200,1,"no"
47,"tertiary","no",2261,"no","cellular","jul",87,2,"no"
59,"secondary","no",1035,"yes","cellular","apr",126,2,"no"
25,"secondary","no",425,"no","cellular","may",100,1,"no"
40,"tertiary","no",552,"no","cellular","jul",761,8,"no"
48,"secondary","no",-30,"yes","cellular","may",133,1,"no"
46,"tertiary","no",1139,"no","cellular","jul",466,4,"no"
29,"secondary","no",3310,"no","cellular","feb",276,2,"no"
28,"secondary","no",2806,"no","cellular","oct",285,1,"no"
55,"tertiary","no",6507,"yes","cellular","jul",109,1,"no"
32,"secondary","no",1066,"yes","unknown","may",180,9,"no"
34,"secondary","no",5127,"no","cellular","jul",559,2,"no"
30,"primary","no",265,"yes","unknown","may",380,1,"no"
57,"tertiary","no",1269,"no","cellular","aug",1120,1,"yes"
37,"unknown","no",414,"yes","unknown","may",131,1,"no"
46,"secondary","no",16,"yes","unknown","may",188,2,"no"
35,"tertiary","no",4213,"no","cellular","jan",203,1,"no"
29,"unknown","no",10332,"no","cellular","nov",46,3,"yes"
34,"secondary","no",-196,"yes","unknown","may",16,1,"no"
42,"tertiary","no",2187,"yes","cellular","nov",525,3,"yes"
42,"secondary","no",1080,"yes","cellular","may",951,3,"yes"
47,"primary","no",146,"yes","unknown","may",53,5,"no"
50,"secondary","no",378,"yes","cellular","jan",155,1,"no"
31,"secondary","no",1766,"no","cellular","jun",166,2,"yes"
37,"secondary","no",181,"no","cellular","aug",140,1,"no"
42,"tertiary","no",2309,"yes","unknown","may",64,3,"no"
36,"secondary","no",0,"no","cellular","nov",94,1,"no"
33,"secondary","no",0,"yes","unknown","may",190,1,"no"
44,"secondary","no",33,"yes","cellular","may",195,3,"no"
40,"tertiary","no",9541,"no","cellular","nov",128,2,"no"
57,"secondary","no",1640,"no","unknown","may",204,4,"no"
28,"tertiary","no",882,"no","cellular","jan",94,1,"no"
55,"unknown","no",4746,"yes","unknown","may",288,3,"no"
45,"tertiary","no",2406,"no","cellular","aug",248,2,"no"
26,"tertiary","no",79,"yes","unknown","may",346,3,"no"
28,"secondary","no",723,"yes","unknown","may",262,1,"no"
39,"tertiary","no",1555,"yes","cellular","jul",796,1,"no"
45,"secondary","no",728,"yes","cellular","may",156,2,"no"
32,"secondary","no",580,"yes","cellular","apr",69,1,"no"
35,"unknown","no",342,"no","cellular","feb",427,4,"no"
33,"tertiary","no",1077,"no","cellular","may",118,2,"no"
33,"secondary","no",844,"yes","cellular","jul",476,3,"no"
27,"secondary","no",158,"no","unknown","jul",650,2,"yes"
30,"tertiary","no",261,"no","cellular","oct",233,1,"no"
39,"secondary","no",18,"yes","cellular","apr",155,1,"no"
